Group,Variable,Value,,,,,,,,,,,
September,1892,-0.16,,,,,,,,,,,
October,1892,-0.13,,,,,,,,,,,
November,1892,-0.41,,,,,,,,,,,
December,1892,-0.37,,,,,,,,,,,
January,1893,-0.8,,,,,,,,,,,
February,1893,-0.55,,,,,,,,,,,
March,1893,-0.21,,,,,,,,,,,
April,1893,-0.26,,,,,,,,,,,
May,1893,-0.34,,,,,,,,,,,
June,1893,-0.25,,,,,,,,,,,
July,1893,-0.13,,,,,,,,,,,
August,1893,-0.24,,,,,,,,,,,
September,1893,-0.22,,,,,,,,,,,
October,1893,-0.18,,,,,,,,,,,
November,1893,-0.18,,,,,,,,,,,
December,1893,-0.31,,,,,,,,,,,
January,1894,-0.51,,,,,,,,,,,
February,1894,-0.28,,,,,,,,,,,
March,1894,-0.22,,,,,,,,,,,
April,1894,-0.44,,,,,,,,,,,
May,1894,-0.3,,,,,,,,,,,
June,1894,-0.39,,,,,,,,,,,
July,1894,-0.23,,,,,,,,,,,
August,1894,-0.23,,,,,,,,,,,
September,1894,-0.27,,,,,,,,,,,
October,1894,-0.22,,,,,,,,,,,
November,1894,-0.24,,,,,,,,,,,
December,1894,-0.19,,,,,,,,,,,
January,1895,-0.39,,,,,,,,,,,
February,1895,-0.41,,,,,,,,,,,
March,1895,-0.31,,,,,,,,,,,
April,1895,-0.2,,,,,,,,,,,
May,1895,-0.26,,,,,,,,,,,
June,1895,-0.19,,,,,,,,,,,
July,1895,-0.16,,,,,,,,,,,
August,1895,-0.15,,,,,,,,,,,
September,1895,-0.11,,,,,,,,,,,
October,1895,-0.1,,,,,,,,,,,
November,1895,-0.15,,,,,,,,,,,
December,1895,-0.13,,,,,,,,,,,
January,1896,-0.2,,,,,,,,,,,
February,1896,-0.11,,,,,,,,,,,
March,1896,-0.25,,,,,,,,,,,
April,1896,-0.29,,,,,,,,,,,
May,1896,-0.15,,,,,,,,,,,
June,1896,-0.1,,,,,,,,,,,
July,1896,-0.01,,,,,,,,,,,
August,1896,-0.04,,,,,,,,,,,
September,1896,-0.06,,,,,,,,,,,
October,1896,0.08,,,,,,,,,,,
November,1896,-0.03,,,,,,,,,,,
December,1896,-0.03,,,,,,,,,,,
January,1897,-0.13,,,,,,,,,,,
February,1897,-0.16,,,,,,,,,,,
March,1897,-0.12,,,,,,,,,,,
April,1897,-0.01,,,,,,,,,,,
May,1897,0,,,,,,,,,,,
June,1897,-0.1,,,,,,,,,,,
July,1897,-0.01,,,,,,,,,,,
August,1897,-0.08,,,,,,,,,,,
September,1897,-0.07,,,,,,,,,,,
October,1897,-0.11,,,,,,,,,,,
November,1897,-0.17,,,,,,,,,,,
December,1897,-0.19,,,,,,,,,,,
January,1898,0,,,,,,,,,,,
February,1898,-0.28,,,,,,,,,,,
March,1898,-0.48,,,,,,,,,,,
April,1898,-0.28,,,,,,,,,,,
May,1898,-0.28,,,,,,,,,,,
June,1898,-0.17,,,,,,,,,,,
July,1898,-0.2,,,,,,,,,,,
August,1898,-0.24,,,,,,,,,,,
September,1898,-0.2,,,,,,,,,,,
October,1898,-0.33,,,,,,,,,,,
November,1898,-0.36,,,,,,,,,,,
December,1898,-0.22,,,,,,,,,,,
January,1899,-0.15,,,,,,,,,,,
February,1899,-0.37,,,,,,,,,,,
March,1899,-0.36,,,,,,,,,,,
April,1899,-0.19,,,,,,,,,,,
May,1899,-0.22,,,,,,,,,,,
June,1899,-0.31,,,,,,,,,,,
July,1899,-0.14,,,,,,,,,,,
August,1899,-0.06,,,,,,,,,,,
September,1899,-0.03,,,,,,,,,,,
October,1899,-0.03,,,,,,,,,,,
November,1899,0.14,,,,,,,,,,,
December,1899,-0.24,,,,,,,,,,,
January,1900,-0.34,,,,,,,,,,,
February,1900,-0.04,,,,,,,,,,,
March,1900,0.02,,,,,,,,,,,
April,1900,-0.07,,,,,,,,,,,
May,1900,-0.07,,,,,,,,,,,
June,1900,-0.08,,,,,,,,,,,
July,1900,-0.12,,,,,,,,,,,
August,1900,-0.07,,,,,,,,,,,
September,1900,-0.04,,,,,,,,,,,
October,1900,0.11,,,,,,,,,,,
November,1900,-0.05,,,,,,,,,,,
December,1900,-0.05,,,,,,,,,,,
January,1901,-0.22,,,,,,,,,,,
February,1901,-0.09,,,,,,,,,,,
March,1901,0.07,,,,,,,,,,,
April,1901,-0.01,,,,,,,,,,,
May,1901,-0.15,,,,,,,,,,,
June,1901,-0.11,,,,,,,,,,,
July,1901,-0.13,,,,,,,,,,,
August,1901,-0.19,,,,,,,,,,,
September,1901,-0.21,,,,,,,,,,,
October,1901,-0.27,,,,,,,,,,,
November,1901,-0.16,,,,,,,,,,,
December,1901,-0.27,,,,,,,,,,,
January,1902,-0.17,,,,,,,,,,,
February,1902,-0.05,,,,,,,,,,,
March,1902,-0.27,,,,,,,,,,,
April,1902,-0.26,,,,,,,,,,,
May,1902,-0.3,,,,,,,,,,,
June,1902,-0.3,,,,,,,,,,,
July,1902,-0.27,,,,,,,,,,,
August,1902,-0.28,,,,,,,,,,,
September,1902,-0.28,,,,,,,,,,,
October,1902,-0.28,,,,,,,,,,,
November,1902,-0.34,,,,,,,,,,,
December,1902,-0.4,,,,,,,,,,,
January,1903,-0.22,,,,,,,,,,,
February,1903,-0.04,,,,,,,,,,,
March,1903,-0.21,,,,,,,,,,,
April,1903,-0.4,,,,,,,,,,,
May,1903,-0.39,,,,,,,,,,,
June,1903,-0.41,,,,,,,,,,,
July,1903,-0.34,,,,,,,,,,,
August,1903,-0.44,,,,,,,,,,,
September,1903,-0.49,,,,,,,,,,,
October,1903,-0.47,,,,,,,,,,,
November,1903,-0.41,,,,,,,,,,,
December,1903,-0.5,,,,,,,,,,,
January,1904,-0.63,,,,,,,,,,,
February,1904,-0.57,,,,,,,,,,,
March,1904,-0.47,,,,,,,,,,,
April,1904,-0.49,,,,,,,,,,,
May,1904,-0.51,,,,,,,,,,,
June,1904,-0.47,,,,,,,,,,,
July,1904,-0.5,,,,,,,,,,,
August,1904,-0.48,,,,,,,,,,,
September,1904,-0.55,,,,,,,,,,,
October,1904,-0.39,,,,,,,,,,,
November,1904,-0.17,,,,,,,,,,,
December,1904,-0.33,,,,,,,,,,,
January,1905,-0.34,,,,,,,,,,,
February,1905,-0.59,,,,,,,,,,,
March,1905,-0.21,,,,,,,,,,,
April,1905,-0.32,,,,,,,,,,,
May,1905,-0.29,,,,,,,,,,,
June,1905,-0.27,,,,,,,,,,,
July,1905,-0.26,,,,,,,,,,,
August,1905,-0.2,,,,,,,,,,,
September,1905,-0.19,,,,,,,,,,,
October,1905,-0.24,,,,,,,,,,,
November,1905,-0.06,,,,,,,,,,,
December,1905,-0.12,,,,,,,,,,,
January,1906,-0.27,,,,,,,,,,,
February,1906,-0.29,,,,,,,,,,,
